Job_position,Company,Location,Salary,requirements,rating,experience,posting_frequency
Junior Software Developer,Gather Network,"Urban Estate Gurgaon, Haryana","20,000 a month",We are actively looking for a few freshers who want to start their career in Blockchain Technology and have an extreme desire to work closely with industry…,0.0,,1.0
Big Data Developer,Agile Placement,"Pune, Maharashtra","5,00,000 - 14,00,000 a year","_Strong knowledge of programming and scripting languages such as Java Spark , Python & R Experience with major big data technologies and frameworks including…",0.0,Total work: 6 years,1.0
Data Scientist,Client of PlaceElements HR,"Thiruvananthapuram, Kerala","5,00,000 - 10,00,000 a year",Experience in working closely with data analysts and involved in customer projects.Hiring Data Scientist for a Software company.Temporarily due to COVID-19.,0.0,Python: Algorithms: Statistics: 1 yearData Scientist: 2 yearsBachelor's,1.0
Software Engineer - Machine Learning Engineer,Siemens Technology and Services Private Limited,"Pune, Maharashtra",-999,Experience with machine learning architectures and computer vision applications.Experience with C++ and Python.Good scripting and programming skills.,4.0,,2.0
Machine Learning (Fullstack) at Sadhashiva Nagar Bangalore,Teqlinx Software Solutions LLC,"Bengaluru, Karnataka","30,00,000 a year",• Extremely strong programming background – data structures and algorithm.• He/She should have worked in a product-development company and should be capable of…,0.0,,1.0
Java/J2EE Developer freshers required,www.yansisofsol.com,"Hyderabad, Telangana","22,000 - 35,000 a month","Sanitising, disinfecting, or cleaning procedures in place.Need candidates who is willing to explore their career for software industry those who can prove they…",0.0,,1.0
Machine learning Engineers,VN SoftSol,"Noida, Uttar Pradesh",-999,"Experienced in stream and batch data processing.Experience in working with Time series data analysis.Engineer data pipelines (Spark, Beam, Flink, Scala,…",0.0,,1.0
Machine Learning Engineer/ Data Scientist,Dürr Somac GmbH,"Noida, Uttar Pradesh",-999,"This includes data processing, data exploration, ML model development & training as well as the deployment.Working in agile cross-functional teams in order to…",0.0,,1.0
Fresher 2021 | Software Developer,Acies Global,Remote,-999,Online Programming test - in the next 2 or 3 days after the previous round.We are excited to announce this career opportunity for the freshers graduating in…,0.0,,1.0
Data Scientist - Consultant,"Krypt, Inc.","Bengaluru, Karnataka",-999,Developing customized machine learning algorithms.Expertise in machine learning and statistical modeling.5+ years of recent professional industry experience…,0.0,,1.0
Data Engineer/ETL Developer,ACIES,"Chennai, Tamil Nadu","3,10,874 - 11,27,317 a year",Should be able to design a quality management scheme and plan for data migration activities including validation of loaded data to ensure the maximum efficiency…,0.0,DataEngineer/ETL Developer: 1 yearDataWarehousing: 1 yearBachelor's,1.0
Data Scientist/ Machine Learning Consultant ( UK Location),Imurgence,India,-999,"Exposure to machine learning models and corresponding statistics like K-means, Bayesian, Clustering.Data wrangling and data cleansing experience.",0.0,,1.0
Software Engineer (Developer),PERFECTKODE SOFTWARE TECHNOLOGIES,"Noida, Uttar Pradesh","1,50,000 - 2,40,000 a year",You need to possess good communication skills and a strong inclination to work with data and algorithms.PerfectKode Software Technologies is looking to onboard…,0.0,,1.0
